$id,$permissions,$createdAt,$updatedAt,name,qty,tag,price,sectionId
meat_1,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:04.645+00:00,2026-04-06T10:21:04.645+00:00,لحمة مفرومة,نص كيلو,p,6,meat
meat_2,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:04.943+00:00,2026-04-06T10:21:04.943+00:00,صدر سفاين دجاج,كيلو,p,0,meat
meat_3,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:05.229+00:00,2026-04-06T10:21:05.229+00:00,برغر حبة لحمة نبيل 10 حبات,حبة,s,1.45,meat
meat_4,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:05.534+00:00,2026-04-06T10:21:05.534+00:00,مرتديال سنيورة فستق حلبي الكيلو 4.5,حسب الحاجة,s,2,meat
meat_5,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:05.847+00:00,2026-04-06T10:21:05.847+00:00,بطاطا قلي جاهزة fregys 2.5 kg,حبة,s,2.49,meat
meat_6,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:06.136+00:00,2026-04-06T10:21:06.136+00:00,زنجر نبيل 750,حبة,s,2.99,meat
meat_7,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:06.424+00:00,2026-04-06T10:21:06.424+00:00,تطلي توكاس 380 غرام تركي,حبة,s,1.9,meat
meat_8,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:06.726+00:00,2026-04-06T10:21:06.726+00:00,تطلي الدرة 430 غرام,حبة,s,0.99,meat
meat_9,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:07.026+00:00,2026-04-06T10:21:07.026+00:00,يونيوم دجاج كبير,حبة,s,2.83,meat
meat_10,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:07.309+00:00,2026-04-06T10:21:07.309+00:00,يونيوم وسط,حبة,s,1.56,meat
meat_11,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:07.599+00:00,2026-04-06T10:21:07.599+00:00,تونا ريو جاردنز,حبة,s,0.7,meat
pantry_0,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:07.904+00:00,2026-04-06T10:21:07.904+00:00,بيض,30 بيضة,p,3.1,pantry
pantry_1,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:08.194+00:00,2026-04-06T10:21:08.194+00:00,ملح,حبة,p,0.24,pantry
pantry_2,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:08.487+00:00,2026-04-06T10:21:08.487+00:00,طحين,كيلو,p,0.58,pantry
pantry_3,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:08.848+00:00,2026-04-06T10:21:08.848+00:00,طحينية ماركة سمسم 400 غرام,علبة,p,1.41,pantry
pantry_4,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:09.147+00:00,2026-04-06T10:21:09.147+00:00,زعتر كبيتيلو ملوكي 500 غرام,بكيت,p,1.65,pantry
pantry_5,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:09.444+00:00,2026-04-06T10:21:09.444+00:00,حمص الكسيح 125 مل 4 حبات,حبة,p,1.39,pantry
pantry_6,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:09.734+00:00,2026-04-06T10:21:09.734+00:00,شاي ليبتون 100 ميدالية,حبة,p,1.77,pantry
pantry_7,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:10.026+00:00,2026-04-06T10:21:10.026+00:00,ماجي 24 مكعب,بكيت,p,1.95,pantry
pantry_8,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:10.321+00:00,2026-04-06T10:21:10.321+00:00,ماجي vegeta,كيس,p,1.55,pantry
pantry_9,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:10.626+00:00,2026-04-06T10:21:10.626+00:00,ماجي خلط البشاميل 1+3,بكيت,s,2.59,pantry
pantry_10,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:10.922+00:00,2026-04-06T10:21:10.922+00:00,ماجي شوربة 3+1,بكيت,s,2.39,pantry
pantry_11,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:11.265+00:00,2026-04-06T10:21:11.265+00:00,مايونيز صغير,حبة,s,1.5,pantry
pantry_12,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:11.565+00:00,2026-04-06T10:21:11.565+00:00,كاتشاب حياة صغير,حبة,s,0.55,pantry
pantry_13,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:11.889+00:00,2026-04-06T10:21:11.889+00:00,ارز صنوايت 10 كيلو,حبة,p,10.25,pantry
pantry_14,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:12.193+00:00,2026-04-06T10:21:12.193+00:00,ارز صنوايت 4 كيلو,حبة,p,4.46,pantry
pantry_15,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:12.496+00:00,2026-04-06T10:21:12.496+00:00,رز مندي بسمتي 4 كيلو,حبة,p,4.19,pantry
pantry_16,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:12.799+00:00,2026-04-06T10:21:12.799+00:00,ارز بشمتس ابو كاس 4 كيلو,كيلو,p,4.48,pantry
pantry_17,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:13.102+00:00,2026-04-06T10:21:13.102+00:00,ارز مصطفى حبة متوسطة 3.5 كيلو,كيلو,p,3.59,pantry
pantry_18,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:13.408+00:00,2026-04-06T10:21:13.408+00:00,ارز مصطفى متوسط الحبة 9 كيلو,كيلو,p,8.9,pantry
pantry_19,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:13.699+00:00,2026-04-06T10:21:13.699+00:00,سكر الاسرة 10 كيلو,حبة,p,4.99,pantry
pantry_20,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:13.992+00:00,2026-04-06T10:21:13.992+00:00,سكر ردسي 5 كيلو,كيلو,p,2.29,pantry
pantry_21,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:14.291+00:00,2026-04-06T10:21:14.291+00:00,عدس مجروش تركي الكنغر 700 غرام,كيلو,p,0.75,pantry
